epoch,slot,active_count,active_eth,entry_queue_count,entry_queue_eth,exit_queue_count,exit_queue_eth,Churn_limit_validators,Churn_limit_eth_est,activations,newly_queued_entries,newly_queued_exits,newly_queued_cum_exits
386387,12364408,1062858,34987939,48,1536,22463,728944,8,256.0,0.0,0.0,0.0,0.0
386387,12364409,1062858,34987939,48,1536,22463,728944,8,256.0,0.0,0.0,0.0,0.0
386387,12364410,1062858,34987939,48,1536,22463,728944,8,256.0,0.0,0.0,0.0,0.0
386387,12364411,1062858,34987939,48,1536,22463,728944,8,256.0,0.0,0.0,0.0,0.0
386387,12364412,1062858,34987939,48,1536,22463,728944,8,256.0,0.0,0.0,0.0,0.0
386387,12364413,1062858,34987939,48,1536,22463,728944,8,256.0,0.0,0.0,0.0,0.0
386387,12364414,1062858,34987939,48,1536,22463,728944,8,256.0,0.0,0.0,0.0,0.0
386387,12364415,1062858,34987939,48,1536,22463,728944,8,256.0,0.0,0.0,0.0,0.0
386388,12364416,1062866,34988195,48,1536,22455,728688,8,256.0,256.0,256.0,0.0,0.0
386388,12364417,1062866,34988195,48,1536,22455,728688,8,256.0,0.0,0.0,0.0,0.0
386388,12364418,1062866,34988195,48,1536,22455,728688,8,256.0,0.0,0.0,0.0,0.0
386388,12364419,1062866,34988195,48,1536,22455,728688,8,256.0,0.0,0.0,0.0,0.0
386388,12364420,1062866,34988195,48,1536,22455,728688,8,256.0,0.0,0.0,0.0,0.0
386388,12364421,1062866,34988195,48,1536,22455,728688,8,256.0,0.0,0.0,0.0,0.0
386388,12364422,1062866,34988195,48,1536,22455,728688,8,256.0,0.0,0.0,0.0,0.0
386388,12364423,1062866,34988195,48,1536,22455,728688,8,256.0,0.0,0.0,0.0,0.0
386388,12364424,1062866,34988195,48,1536,22455,728688,8,256.0,0.0,0.0,0.0,0.0
386388,12364425,1062866,34988195,48,1536,22455,728688,8,256.0,0.0,0.0,0.0,0.0
386388,12364426,1062866,34988195,48,1536,22455,728688,8,256.0,0.0,0.0,0.0,0.0
386388,12364427,1062866,34988195,48,1536,22455,728688,8,256.0,0.0,0.0,0.0,0.0
386388,12364428,1062866,34988195,48,1536,22455,728688,8,256.0,0.0,0.0,0.0,0.0
386388,12364429,1062866,34988195,48,1536,22455,728688,8,256.0,0.0,0.0,0.0,0.0
386388,12364430,1062865,34988163,48,1536,22456,728720,8,256.0,0.0,0.0,32.0,32.0
386388,12364431,1062865,34988163,48,1536,22456,728720,8,256.0,0.0,0.0,0.0,0.0
386388,12364432,1062865,34988163,48,1536,22456,728720,8,256.0,0.0,0.0,0.0,0.0
386388,12364433,1062865,34988163,48,1536,22456,728720,8,256.0,0.0,0.0,0.0,0.0
386388,12364434,1062865,34988163,48,1536,22456,728720,8,256.0,0.0,0.0,0.0,0.0
386388,12364435,1062865,34988163,48,1536,22456,728720,8,256.0,0.0,0.0,0.0,0.0
386388,12364436,1062865,34988163,48,1536,22456,728720,8,256.0,0.0,0.0,0.0,0.0
386388,12364437,1062865,34988163,48,1536,22456,728720,8,256.0,0.0,0.0,0.0,0.0
386388,12364438,1062865,34988163,48,1536,22456,728720,8,256.0,0.0,0.0,0.0,0.0
386388,12364439,1062865,34988163,48,1536,22456,728720,8,256.0,0.0,0.0,0.0,0.0
386388,12364440,1062865,34988163,48,1536,22456,728720,8,256.0,0.0,0.0,0.0,0.0
386388,12364441,1062865,34988163,48,1536,22456,728720,8,256.0,0.0,0.0,0.0,0.0
386388,12364442,1062865,34988163,48,1536,22456,728720,8,256.0,0.0,0.0,0.0,0.0
386388,12364443,1062865,34988163,48,1536,22456,728720,8,256.0,0.0,0.0,0.0,0.0
386388,12364444,1062865,34988163,48,1536,22456,728720,8,256.0,0.0,0.0,0.0,0.0
386388,12364445,1062865,34988163,48,1536,22456,728720,8,256.0,0.0,0.0,0.0,0.0
386388,12364446,1062865,34988163,48,1536,22456,728720,8,256.0,0.0,0.0,0.0,0.0
386388,12364447,1062865,34988163,48,1536,22456,728720,8,256.0,0.0,0.0,0.0,0.0
386389,12364448,1062873,34988419,48,1536,22448,728464,8,256.0,256.0,256.0,0.0,0.0
386389,12364449,1062873,34988419,48,1536,22448,728464,8,256.0,0.0,0.0,0.0,0.0
386389,12364450,1062873,34988419,48,1536,22448,728464,8,256.0,0.0,0.0,0.0,0.0
386389,12364451,1062873,34988419,48,1536,22448,728464,8,256.0,0.0,0.0,0.0,0.0
386389,12364452,1062873,34988419,48,1536,22448,728464,8,256.0,0.0,0.0,0.0,0.0
386389,12364453,1062873,34988419,48,1536,22448,728464,8,256.0,0.0,0.0,0.0,0.0
386389,12364454,1062873,34988419,48,1536,22448,728464,8,256.0,0.0,0.0,0.0,0.0
386389,12364455,1062873,34988419,48,1536,22448,728464,8,256.0,0.0,0.0,0.0,0.0
386389,12364456,1062873,34988419,48,1536,22448,728464,8,256.0,0.0,0.0,0.0,0.0
386389,12364457,1062873,34988419,48,1536,22448,728464,8,256.0,0.0,0.0,0.0,0.0
386389,12364458,1062873,34988419,48,1536,22448,728464,8,256.0,0.0,0.0,0.0,0.0
386389,12364459,1062873,34988419,48,1536,22448,728464,8,256.0,0.0,0.0,0.0,0.0
386389,12364460,1062873,34988419,48,1536,22448,728464,8,256.0,0.0,0.0,0.0,0.0
